,شهر,تاريخ الشراء,رقم الكارت,هل انت راض عن جودة اللحوم المقدمه داخل القسم,هل انت راض عن وقت التسويه للحوم المباعه بالقسم,هل انت راض عن مذاق اللحوم الموجوده بالقسم,هل انت راض عن مستوى جودة الخدمه بشكل عام,هل هناك اي ملاحظات او اصناف ترغب في توافرها,نوع الاستبيان
195,فبراير,44980,614187,نعم,نعم,نعم,نعم,لا,شكر
196,فبراير,44980,526723,نعم,نعم,نعم,نعم,لا,شكر
197,فبراير,44980,632740,نعم,نعم,نعم,نعم,لا,شكر
198,فبراير,44980,622286,نعم,نعم,نعم,نعم,لا,شكر
199,فبراير,44980,628964,نعم,نعم,نعم,نعم,لا,شكر
200,فبراير,44980,606897,نعم,نعم,نعم,نعم,لا,شكر
201,فبراير,44980,739121,نعم,نعم,نعم,نعم,لا,شكر
202,فبراير,44980,605919,لا,لا,لا,نعم,نعم,شكوي
203,فبراير,44980,625701,نعم,نعم,نعم,نعم,لا,شكر
204,فبراير,44980,838173,نعم,نعم,نعم,نعم,لا,شكر
205,فبراير,44980,615137,نعم,نعم,نعم,لا,نعم,شكوي
206,فبراير,44980,611114,نعم,نعم,نعم,لا,نعم,شكوي
207,فبراير,44980,526446,نعم,نعم,نعم,لا,نعم,شكوي
208,فبراير,44980,606078,نعم,نعم,نعم,نعم,لا,شكر
209,فبراير,44980,610847,نعم,نعم,نعم,لا,نعم,شكوي
210,فبراير,44980,617657,نعم,نعم,نعم,نعم,لا,شكر
211,فبراير,44980,601418,نعم,نعم,نعم,نعم,لا,شكر
212,فبراير,44980,521287,نعم,نعم,نعم,نعم,لا,شكر
213,فبراير,44980,617449,نعم,نعم,نعم,نعم,لا,شكر
214,فبراير,44980,835277,نعم,نعم,نعم,نعم,لا,شكر
215,فبراير,44980,527457,نعم,نعم,نعم,لا,نعم,شكوي
216,فبراير,44980,835641,نعم,نعم,نعم,نعم,لا,شكر
217,فبراير,44980,276159,نعم,نعم,نعم,نعم,لا,شكر
218,فبراير,44980,521845,نعم,نعم,نعم,نعم,لا,شكر
219,فبراير,44980,625891,نعم,نعم,نعم,نعم,لا,شكر
220,فبراير,44980,624106,نعم,نعم,نعم,لا,نعم,شكوي
221,فبراير,44980,634557,نعم,نعم,نعم,نعم,لا,شكر
222,فبراير,44980,621057,لا,لا,لا,نعم,نعم,شكوي
223,فبراير,44980,631501,نعم,نعم,نعم,نعم,لا,شكر
224,فبراير,44980,610466,نعم,نعم,نعم,نعم,لا,شكر
225,فبراير,44980,629052,نعم,نعم,نعم,نعم,لا,شكر
226,فبراير,44980,614884,نعم,نعم,نعم,نعم,لا,شكر
227,فبراير,44980,634513,نعم,نعم,نعم,نعم,لا,شكر
228,فبراير,44980,632270,نعم,نعم,نعم,نعم,لا,شكر
229,فبراير,44980,523347,نعم,نعم,نعم,نعم,لا,شكر
230,فبراير,44980,601476,نعم,نعم,نعم,نعم,لا,شكر
231,فبراير,44980,835593,نعم,نعم,نعم,لا,نعم,شكوي
232,فبراير,44980,838430,نعم,نعم,نعم,نعم,لا,شكر
233,فبراير,44980,613303,نعم,نعم,نعم,نعم,لا,شكر
234,فبراير,44980,526057,نعم,نعم,نعم,نعم,لا,شكر
235,فبراير,44980,631857,نعم,نعم,لا,نعم,نعم,شكوي
236,فبراير,44980,622918,نعم,نعم,نعم,نعم,لا,شكر
237,فبراير,44980,525095,نعم,نعم,نعم,نعم,لا,شكر
238,فبراير,44980,627916,نعم,نعم,نعم,نعم,لا,شكر
239,فبراير,44980,518547,نعم,نعم,نعم,نعم,لا,شكر
240,فبراير,44980,620467,نعم,نعم,نعم,نعم,لا,شكر
241,فبراير,44980,609795,نعم,نعم,نعم,نعم,لا,شكر
242,فبراير,44980,631587,نعم,نعم,نعم,نعم,لا,شكر
243,فبراير,44983,612598,نعم,نعم,نعم,نعم,لا,شكر
244,فبراير,44983,512616,نعم,نعم,نعم,نعم,لا,شكر
245,فبراير,44983,608928,لا,نعم,لا,لا,نعم,شكوي
246,فبراير,44983,611745,نعم,نعم,نعم,نعم,لا,شكر
247,فبراير,44983,604651,نعم,نعم,نعم,نعم,لا,شكر
248,فبراير,44983,600649,نعم,نعم,نعم,نعم,لا,شكر
249,فبراير,44983,602116,نعم,نعم,نعم,لا,نعم,شكوي
250,فبراير,44983,626255,نعم,نعم,نعم,نعم,لا,شكر
251,فبراير,44983,603662,لا,لا,لا,لا,نعم,شكوي
252,فبراير,44983,614207,نعم,نعم,نعم,نعم,لا,شكر
253,فبراير,44983,508153,نعم,نعم,نعم,نعم,لا,شكر
254,فبراير,44983,633598,نعم,نعم,نعم,لا,نعم,شكوي
255,فبراير,44983,634330,نعم,نعم,نعم,نعم,لا,شكر
256,فبراير,44983,521471,نعم,نعم,نعم,نعم,لا,شكر
257,فبراير,44983,626777,لا,لا,لا,لا,نعم,شكوي
258,فبراير,44983,631526,نعم,نعم,نعم,نعم,لا,شكر
259,فبراير,44983,629226,نعم,نعم,نعم,نعم,لا,شكر
260,فبراير,44983,837764,نعم,نعم,نعم,نعم,لا,شكر
261,فبراير,44983,602398,نعم,نعم,نعم,نعم,لا,شكر
262,فبراير,44983,626674,نعم,نعم,نعم,نعم,لا,شكر
263,فبراير,44983,520640,نعم,نعم,نعم,لا,نعم,شكوي
264,فبراير,44983,627860,نعم,نعم,نعم,نعم,لا,شكر
265,فبراير,44983,608733,نعم,نعم,نعم,نعم,لا,شكر
266,فبراير,44983,603925,نعم,نعم,نعم,نعم,لا,شكر
267,فبراير,44983,527995,نعم,نعم,نعم,نعم,لا,شكر
268,فبراير,44983,631375,نعم,نعم,نعم,نعم,لا,شكر
269,فبراير,44983,612608,نعم,نعم,نعم,نعم,لا,شكر
270,فبراير,44983,527693,نعم,نعم,نعم,نعم,لا,شكر
271,فبراير,44983,610131,نعم,نعم,نعم,نعم,نعم,اقتراح
272,فبراير,44983,519789,نعم,نعم,نعم,نعم,لا,شكر
273,فبراير,44983,615151,نعم,نعم,نعم,نعم,لا,شكر
274,فبراير,44983,634952,نعم,نعم,نعم,نعم,لا,شكر
275,فبراير,44983,517754,نعم,نعم,نعم,نعم,لا,شكر
276,فبراير,44983,523894,نعم,نعم,نعم,نعم,لا,شكر
277,فبراير,44983,519217,نعم,نعم,نعم,نعم,لا,شكر
278,فبراير,44983,612474,نعم,نعم,نعم,نعم,لا,شكر
279,فبراير,44983,633151,نعم,نعم,نعم,نعم,لا,شكر
280,فبراير,44983,635271,نعم,نعم,نعم,لا,نعم,شكوي
281,فبراير,44983,611724,نعم,نعم,نعم,نعم,لا,شكر
282,فبراير,44983,523911,نعم,نعم,نعم,نعم,نعم,اقتراح
283,فبراير,44983,510428,نعم,نعم,نعم,نعم,لا,شكر
284,فبراير,44983,611808,نعم,نعم,نعم,لا,نعم,شكوي
285,فبراير,44983,628153,لا,لا,لا,لا,نعم,شكوي
286,فبراير,44983,838058,نعم,نعم,نعم,نعم,لا,شكر
287,فبراير,44983,507111,نعم,نعم,نعم,نعم,لا,شكر
288,فبراير,44983,524883,نعم,نعم,نعم,نعم,نعم,شكوي
289,فبراير,44983,623359,نعم,نعم,نعم,نعم,لا,شكر
290,فبراير,44983,518735,نعم,نعم,نعم,نعم,لا,شكر
291,فبراير,44983,835350,نعم,نعم,نعم,نعم,لا,شكر
292,فبراير,44983,602652,لا,لا,لا,لا,نعم,شكوي
293,فبراير,44983,523468,لا,لا,لا,لا,نعم,شكوي
294,فبراير,44979,191502,لا,نعم,نعم,لا,نعم,شكوي
295,فبراير,44979,226323,نعم,نعم,نعم,نعم,نعم,اقتراح
296,فبراير,44979,229136,لا,نعم,لا,نعم,نعم,شكوي
297,فبراير,44979,229542,نعم,نعم,نعم,نعم,لا,شكر
298,فبراير,44979,259079,نعم,نعم,نعم,نعم,لا,شكر
299,فبراير,44979,276730,نعم,نعم,نعم,نعم,لا,شكر
300,فبراير,44979,294065,نعم,نعم,نعم,نعم,نعم,اقتراح
301,فبراير,44979,384338,نعم,نعم,نعم,نعم,لا,شكر
302,فبراير,44979,393527,نعم,نعم,نعم,نعم,نعم,شكوي
303,فبراير,44979,492461,نعم,نعم,نعم,نعم,لا,شكر
304,فبراير,44979,503113,نعم,نعم,نعم,نعم,نعم,شكوي
305,فبراير,44979,507083,نعم,نعم,نعم,نعم,نعم,شكوي
306,فبراير,44979,507137,نعم,نعم,نعم,نعم,لا,شكر
307,فبراير,44979,507437,لا,لا,لا,لا,نعم,شكوي
308,فبراير,44979,507584,نعم,نعم,نعم,نعم,لا,شكر
309,فبراير,44979,507671,نعم,نعم,نعم,لا,نعم,شكوي
310,فبراير,44979,507672,لا,نعم,لا,لا,نعم,شكوي
311,فبراير,44979,507795,نعم,نعم,نعم,نعم,لا,شكر
312,فبراير,44979,507897,نعم,نعم,نعم,نعم,لا,شكر
313,فبراير,44979,508153,نعم,نعم,نعم,نعم,لا,شكر
314,فبراير,44979,508368,نعم,نعم,نعم,نعم,نعم,شكوي
315,فبراير,44979,509242,لا,نعم,نعم,نعم,نعم,شكوي
316,فبراير,44979,509324,نعم,نعم,نعم,نعم,نعم,شكوي
317,فبراير,44979,509368,نعم,نعم,نعم,نعم,لا,شكر
318,فبراير,44979,509527,نعم,نعم,نعم,نعم,لا,شكر
319,فبراير,44979,509645,نعم,نعم,نعم,نعم,لا,شكر
320,فبراير,44979,509667,نعم,نعم,نعم,نعم,لا,شكر
321,فبراير,44979,509786,نعم,نعم,نعم,نعم,لا,شكر
322,فبراير,44979,509895,نعم,نعم,نعم,نعم,نعم,اقتراح
323,فبراير,44979,509982,نعم,نعم,نعم,نعم,نعم,شكوي
324,فبراير,44979,510145,نعم,نعم,نعم,نعم,لا,شكر
325,فبراير,44979,510296,نعم,نعم,نعم,نعم,نعم,شكوي
326,فبراير,44979,510611,نعم,نعم,نعم,نعم,لا,شكر
327,فبراير,44979,510637,نعم,نعم,نعم,نعم,لا,شكر
328,فبراير,44979,511018,نعم,نعم,نعم,نعم,لا,شكر
329,فبراير,44979,511020,نعم,نعم,نعم,نعم,لا,شكر
330,فبراير,44979,511238,نعم,نعم,نعم,نعم,لا,شكر
331,فبراير,44979,511280,نعم,نعم,نعم,نعم,لا,شكر
332,فبراير,44979,511380,نعم,نعم,نعم,نعم,لا,شكر
333,فبراير,44979,512174,نعم,نعم,نعم,نعم,نعم,شكوي
334,فبراير,44979,512412,نعم,نعم,نعم,نعم,نعم,شكوي
335,فبراير,44979,512768,نعم,نعم,نعم,نعم,لا,شكر
336,فبراير,44979,513665,نعم,نعم,نعم,نعم,لا,شكر
337,فبراير,44979,513872,نعم,نعم,نعم,نعم,نعم,شكوي
338,فبراير,44979,513946,نعم,نعم,نعم,نعم,لا,شكر
339,فبراير,44979,514468,نعم,نعم,نعم,نعم,لا,شكر
340,فبراير,44979,514694,نعم,نعم,نعم,نعم,لا,شكر
341,فبراير,44979,514954,نعم,نعم,نعم,نعم,لا,شكر
342,فبراير,44979,515062,نعم,نعم,نعم,نعم,لا,شكر
343,فبراير,44979,515351,نعم,نعم,نعم,نعم,لا,شكر
344,فبراير,44979,515442,نعم,نعم,نعم,نعم,نعم,اقتراح
345,فبراير,44979,515825,نعم,نعم,نعم,نعم,نعم,شكوي
346,فبراير,44979,515908,نعم,نعم,نعم,نعم,لا,شكر
347,فبراير,44979,516389,نعم,نعم,نعم,نعم,لا,شكر
348,فبراير,44979,516530,نعم,نعم,نعم,نعم,نعم,شكوي
349,فبراير,44979,517231,نعم,نعم,نعم,نعم,لا,شكر
350,فبراير,44979,517667,نعم,نعم,نعم,نعم,نعم,شكوي
351,فبراير,44979,517872,نعم,نعم,نعم,نعم,نعم,شكوي
352,فبراير,44979,517918,نعم,نعم,نعم,نعم,لا,شكر
353,فبراير,44979,518190,نعم,نعم,نعم,نعم,لا,شكر
354,فبراير,44981,622697,نعم,نعم,نعم,نعم,نعم,اقتراح
355,فبراير,44981,611520,نعم,نعم,نعم,نعم,لا,شكر
356,فبراير,44981,521279,نعم,نعم,نعم,نعم,لا,شكر
357,فبراير,44981,835113,نعم,نعم,نعم,نعم,لا,شكر
358,فبراير,44981,517915,نعم,نعم,نعم,نعم,نعم,اقتراح
359,فبراير,44981,635534,نعم,نعم,نعم,نعم,لا,شكر
360,فبراير,44981,512564,نعم,نعم,نعم,نعم,لا,شكر
361,فبراير,44981,507437,نعم,نعم,نعم,نعم,نعم,شكوي
362,فبراير,44981,605009,نعم,نعم,نعم,لا,نعم,شكوي
363,فبراير,44981,517971,نعم,نعم,نعم,نعم,لا,شكر
364,فبراير,44981,39678,نعم,نعم,نعم,نعم,لا,شكر
365,فبراير,44981,524340,نعم,نعم,نعم,لا,نعم,شكوي
366,فبراير,44981,610537,نعم,نعم,نعم,نعم,نعم,اقتراح
367,فبراير,44981,602585,نعم,نعم,نعم,نعم,لا,شكر
368,فبراير,44981,610999,نعم,نعم,نعم,لا,نعم,شكوي
369,فبراير,44981,634692,نعم,نعم,نعم,نعم,لا,شكر
370,فبراير,44981,521414,نعم,نعم,نعم,نعم,لا,شكر
371,فبراير,44981,626852,نعم,نعم,نعم,نعم,لا,شكر
372,فبراير,44981,631206,نعم,نعم,نعم,نعم,لا,شكر
373,فبراير,44981,626025,نعم,نعم,نعم,لا,نعم,شكوي
374,فبراير,44981,508721,نعم,نعم,نعم,لا,نعم,شكوي
375,فبراير,44981,615434,نعم,نعم,نعم,نعم,نعم,اقتراح
