,شهر,تاريخ الاتصال,تاريخ طلب الاوردر,كود العميل,جوده المنتج - التغليف,خدمه متلقي الاوردر,وصول الاوردر بالميعاد المحدد,الخدمه مرضيه بشكل عام,ارتداء الطيار الكمامة,نوع المكالمة,ملاحظات العميل
40,يناير,44931,44930,46089.0,3,5,5,3,5,شكوي,السبيط غير طازج وسئ  والتتبيلة سيئة جدا 
41,يناير,44931,44930,90854.0,2,3,5,2,5,شكوي,السمك البورى سئ جدا  وتم طلبه 1 كجم وصل 600 جرام و  الارز ناشف جدا  والاوردر وصل بارد جدا 
42,يناير,44931,44930,32977.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
43,يناير,44932,44931,80694.0,5,5,5,5,5,شكر, الخدمة  ممتازة
44,يناير,44932,44931,54184.0,5,5,5,5,5,شكر, الخدمة  ممتازة
45,يناير,44932,44931,40648.0,1,1,1,1,1,شكوي,  تاخير  الاوردر  ساعة  ونصف    تم  الاتفاق  وصوله  2:00م  وصل  3:30م  ووصوله  بارد   وا/ محمد سعيد    مسؤول  القسم  ابلغ  العميل  بتسليم  الاوردر  باكر  للديليفرى  والتاخير  من  التوصيل   بون 20/15/250/050123
46,يناير,44932,44931,55650.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
47,يناير,44932,44931,48469.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
48,يناير,44932,44931,63983.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
49,يناير,44932,44931,34041.0,3,5,4,3,5,شكوي,سمك البربون  غير  فريش    وتاخير  الاوردر     ساعة  وربع عن الميعاد  المتفق  عليه    من  2:00م وصل  3:15م
50,يناير,44932,44931,75896.0,3,5,5,3,5,شكوي,  سمك  البورى  وصل  بدون  بطارخ   شوى  ردة    تم  تنشيفه
51,يناير,44932,44931,52409.0,2,5,3,2,5,شكوي,  وصول  الاوردر  بارد   تم  استرجاع  الكاليمارى  لانه  بارد  تاخير  الاوردر  من  5:00م  وصل  6:30م  سمك  البلطى شوى  ردة  شبه  محروق وحجمه  صغير  تم  طلب  3سمكات  فى  الكيلو  وصل  6 فى  الكيلو  
52,يناير,44932,44931,98562.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
53,يناير,44932,44931,39293.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
54,يناير,44932,44931,35154.0,1,1,1,1,1,شكوي,  تاخير  الاوردر ساعتين    من  6:00م  وصل  8:00م  حجم  البورى  السنجارى  صغير  جدا  والملح  زيادة  والارز  بدون  ملح  
55,يناير,44932,44931,45497.0,5,5,5,3,5,شكوي,  تاخير  التواصل  من  قبل  الشيف  من  الفرع  ساعة  لاخذ  الاوردر
56,يناير,44932,44931,40442.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
57,يناير,44932,44931,98605.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
58,يناير,44933,44932,58848.0,1,5,5,1,5,شكوي,  بلطى شوى  ردة  شبه    محروق  تتبيلته  سيئة   غير  فريش
59,يناير,44933,44932,39975.0,5,5,5,5,5,شكر, الخدمة  ممتازة 
60,يناير,44933,44932,50924.0,5,5,5,5,5,شكر, الخدمة  ممتازة 
61,يناير,44933,44932,98708.0,5,5,5,5,5,شكر, الخدمة  ممتازة 
62,يناير,44933,44932,67792.0,5,5,5,5,5,شكر, الخدمة  ممتازة 
63,يناير,44933,44932,98732.0,5,5,5,5,5,شكر, الخدمة  ممتازة 
64,يناير,44933,44932,92489.0,5,5,5,5,5,شكر, الخدمة  ممتازة 
65,يناير,44934,44933,44310.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
66,يناير,44934,44933,72154.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
67,يناير,44934,44933,44471.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
68,يناير,44934,44933,44024.0,3,5,5,3,5,شكوي,  بلطى    المقلى  والبورى  المشوى  تتبيلة  ضعيفة
69,يناير,44934,44933,55019.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
70,يناير,44934,44933,98810.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
71,يناير,44934,44933,47752.0,5,5,5,3,5,شكوي,  ارتفاع  اسعار  قسم  الاسماك
72,يناير,44934,44933,82709.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
73,يناير,44935,44934,94439.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
74,يناير,44935,44934,34502.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
75,يناير,44935,44934,90834.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
76,يناير,44935,44934,36020.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
77,يناير,44935,44934,34835.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
78,يناير,44935,44934,91792.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
79,يناير,44935,44934,50201.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
80,يناير,44935,44934,37062.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
81,يناير,44935,44934,45979.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  وتشكر الجودة و وصول الاوردر فى الموعد المحدد 
82,يناير,44935,44934,45416.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
83,يناير,44936,44935,42250.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
84,يناير,44936,44935,67795.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
85,يناير,44936,44935,76771.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
86,يناير,44936,44935,48469.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
87,يناير,44936,44935,42275.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
88,يناير,44937,44936,59782.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
89,يناير,44937,44936,34692.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
90,يناير,44937,44936,93714.0,3,5,5,3,5,شكوي,الازر طعمه سئ 
91,يناير,44937,44936,81088.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
92,يناير,44937,44936,35821.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
93,يناير,44937,44936,39659.0,2,5,5,2,5,شكوي,السمك البورى طعمه سئ وغير طازج    والاوردر وصل بدون الارز وتم ارسال ثمنه بعد تقديم شكوى مسبقا   
94,يناير,44937,44936,96548.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
95,يناير,44937,44936,99160.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
96,يناير,44937,44936,61207.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
97,يناير,44937,44936,80342.0,3,5,5,3,5,شكوي,السمك البلطى المشوى سئ جدا و  لم يتم تنظيفه  
98,يناير,44937,44936,70955.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
99,يناير,44938,44937,80911.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
100,يناير,44938,44937,68777.0,5,3,5,3,5,شكوي, يشكو تاخير تواصل القسم مع العميل بعد ارسال الطلب على الواتساب لمدة 40 دقيقة 
101,يناير,44938,44937,99248.0,5,2,5,2,5,شكوي,تم طلب سمك بطلى مشوى وصل سمك بورى 
102,يناير,44938,44937,84719.0,3,4,4,3,4,شكوي,السمك البلطى المشوى لم يتم تنظيفه وسئ  جدا 
103,يناير,44938,44937,52681.0,5,5,3,3,3,شكوي,تاخير وصول الاوردر تم الاتفاق على موعد وصول الساعه 4  ووصل الساعة 5 
104,يناير,44938,44937,35798.0,5,3,5,3,5,شكوي,يشكو تاخير تواصل القسم مع العميل لمدة ساعة بعد اول مكالمه مع الكول سنتر   
105,يناير,44938,44937,95268.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
106,يناير,44938,44937,68827.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
107,يناير,44938,44937,44067.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
108,يناير,44938,44937,50357.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
109,يناير,44574,44938,94500.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
110,يناير,44574,44938,57030.0,1,4,4,1,4,شكوي,الجندوفلى مليان رملة وطريقة تسويته سيئه جدا  وسمكة وقار زفرة وسيئه جدا  
111,يناير,44574,44938,33128.0,3,5,5,3,5,شكوي,السمك البورى غير طازج وناشف 
112,يناير,44574,44938,70044.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
113,يناير,44574,44938,37676.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
114,يناير,44574,44938,43104.0,3,5,5,3,5,شكوي,السمك السنجارى لم يتم تنضيفه ولم يتم ازالة القشر
115,يناير,44574,44938,52692.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
116,يناير,44574,44938,93444.0,5,5,5,3,5,شكوي,تم طلب سمكة بلطي مشوى ولم تصل مع الاوردر 
117,يناير,44574,44938,99379.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
118,يناير,44574,44938,53833.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
119,يناير,44574,44938,41520.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
120,يناير,44575,44939,34612.0,1,1,1,1,1,شكوي, الاوردر كاملا  الجندفلى والبولى  والفيليه  سئ  جدا  وتم  الانتظار  اما  القسم  طويلا  لاخذ  الاوردر  من  العميل  بون 24/15/250/1301223
121,يناير,44575,44939,99443.0,3,5,5,3,5,شكوي,  بلطى   شوى  زيت وليمون   تم  تنشيفه 
122,يناير,44575,44939,92928.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
123,يناير,44575,44939,98443.0,3,5,5,3,5,شكوي,  سمك الوقار الفيليه  نصف  كيلو  اربع  قطع  اقل  من  الوزن  المطلوب  
124,يناير,44575,44939,40892.0,3,5,5,3,5,شكوي,  البطلى  شوى  ردة  تتبيلته  ضعيفة  جدا
125,يناير,44575,44939,79521.0,3,5,5,3,5,شكوي, تتبيلة  الجمبرى  الخطلة  ضعيفة  جدا
126,يناير,44575,44939,99500.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
127,يناير,44575,44939,99505.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
128,يناير,44575,44939,86220.0,3,5,5,3,5,شكوي,  وصول  الاوردر  بارد مدة  الاوردر  ثلاث  ساعات   من  وقت  التواصل للوصول
129,يناير,44575,44939,34113.0,5,5,5,5,5,شكر,  الخدمة  ممتازة  
130,يناير,44576,44940,40262.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
131,يناير,44576,44940,37057.0,1,1,1,1,1,شكوي,سمك سردين  نى  غير  فريش ومهرى 
132,يناير,44576,44940,67201.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
133,يناير,44576,44940,99595.0,5,5,5,5,5,شكر,الخدمة  ممتازة  
134,يناير,44576,44940,56611.0,1,1,1,1,1,شكوي,وصل الاوردر قبل الميعاد المتفق عليه وصل الساعه 5 مساء والميعاد المتفق عليه الساعه 6.30 مساء 
135,يناير,44577,44941,89610.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
136,يناير,44577,44941,66327.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
137,يناير,44577,44941,66370.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
138,يناير,44577,44941,48435.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
139,يناير,44577,44941,52409.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
140,يناير,44577,44941,95250.0,5,5,3,4,5,شكوي,    تاخير  الاوردر ساعة  عن  الميعاد  المتفق  عليه  من  الساعة  5:00م  وصل  6:00م  
141,يناير,44577,44941,44194.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
142,يناير,44577,44941,43543.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
143,يناير,44577,44941,99709.0,3,5,5,3,5,شكوي,  سمك  البلطى  شوى  زيت  وليمون   غير  فريش  وتنظيفه  سئ  وسمك  الموسى المقلى  تنظيفه  سئ
144,يناير,44577,44941,37474.0,3,5,5,3,5,شكوي,  الارز سئ  جدا
145,يناير,44577,44941,34866.0,1,1,1,1,1,شكوي, تم  الاتفاق  مع  كاشير  الاسماك   اوردر  داخلى على  التوصيل  السادسة  لم  يتم  ارساله    للعميل الا  بعد  الشكوى  للخط  الساخن  تبين  ان  الاوردر  استلام  من  الفرع  ووصل  بارد  
146,يناير,44578,44942,99053.0,5,5,5,5,5,شكوي,تتبيلة سمك دينيس سيئه وبدون طعم
147,يناير,44578,44942,58544.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
148,يناير,44578,44942,36395.0,5,5,5,3,5,شكوي,عدم  وصول الارز مع الاوردر ووصوله فى وقت لاحق ويشكو تكرار ذلك فى كل اوردر  
149,يناير,44578,44942,37431.0,3,4,4,3,4,شكوي,السبيط سئ جدا وكله رجول فقط  وتم رميه 
150,يناير,44578,44942,99695.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
151,يناير,44578,44942,92489.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
152,يناير,44578,44942,99810.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
153,يناير,44578,44942,34366.0,5,5,5,5,5,شكر,خدمة ممتازة جدا  
154,يناير,44579,44943,33116.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
155,يناير,44579,44943,65796.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
156,يناير,44579,44943,99897.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
157,يناير,44579,44943,88491.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
158,يناير,44579,44943,89556.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
159,يناير,44579,44943,49110.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
160,يناير,44579,44943,85619.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
161,يناير,44579,44943,99888.0,5,5,5,3,5,شكوي,تم  طلب السمك البلطي حجمه كبير وصل صغير    لكن يشكر الجودة الممتازة ووصول الاوردر فى الموعد المتفق عليه 
162,يناير,44945,44944,100006.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
163,يناير,44945,44944,39827.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
164,يناير,44945,44944,88500.0,5,5,5,3,5,شكوي,  تاخير  التواصل  من  قبل  الفرع  لتلقى  الاوردر  من  10:00ص  ل  1:00م
165,يناير,44945,44944,67191.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
166,يناير,44945,44944,60930.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
167,يناير,44945,44944,65001.0,3,5,5,3,5,شكوي,  لم  يلتزم  بحجم  السمك  البلطى  وصل  اصغر  من  المبلغ  به  العميل  
168,يناير,44945,44944,69796.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
169,يناير,44945,44944,76910.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
170,يناير,44945,44944,100063.0,4,5,5,4,5,شكوي,  وصول الارز  بارد
171,يناير,44946,44945,34698.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
172,يناير,44946,44945,32801.0,5,5,5,3,5,شكوي,  تاخير  التواصل  من  الفرع  نصف  ساعة  لتلقى  الاوردر
173,يناير,44946,44945,58818.0,5,5,3,3,5,شكوي,  مدة  الاوردر  نى    خمس  ساعات
174,يناير,44946,44945,37680.0,3,5,3,3,5,شكوي,  سمك  لوت  مقلى  لم  يتم  تصفيته  من  الزيت
175,يناير,44946,44945,53468.0,3,5,3,3,5,شكوي,سمك لوت  مقلى     لحمه  معجن  جدا
176,يناير,44946,44945,51755.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
177,يناير,44946,44945,52695.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
178,يناير,44946,44945,33834.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
179,يناير,44946,44945,64221.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
180,يناير,44946,44945,40810.0,5,5,3,3,5,شكوي,  تاخير  الاوردر  ساعة  ونصف  عن  الميعاد  المتفق  عليه 
181,يناير,44946,44945,100132.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
182,يناير,44946,44945,99695.0,3,5,5,3,5,شكوي,  تتبيلة  السردين  ضعيفة جدا  زيت  وليمون  وغير    فريش
183,يناير,44947,44946,37315.0,3,5,5,3,5,شكوي,  طاجن  سبيط  صوص   احمر مقلوب  فى  الطبق  التغليف  من حركة  الاوردر    وتم  تنشيفه    وتاخير  الاوردر  نصف    ساعة  عن  الميعاد المتفق  عليه 
184,يناير,44947,44946,94118.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
185,يناير,44947,44946,37466.0,1,5,5,1,5,شكوي,طاجن سبيط احمر تسوية اسكندراني ووصل مسلوق واللون ليس احمر   والسبيط المقلى  بالعظم  لم  يتم  تنظيفه تاخير ساعة الاربع المفترض وصولة 4.15 ووصل 5:00م    تم  تقديم  شكوى  امس  وتم  التواصل  من  قبل  الفرع  ولم  يتم  ارضاء  العميل  والعميل  يريض  تعويض على  الاوردر بون 109/15/250/200123
186,يناير,44947,44946,87923.0,3,5,5,3,5,شكوي,  الجمبرى  المشوى  لم  يتم  تنظيفه  من  الكيس  الرملى    تاخير  الاوردر ساعة 3:00  وصل  4:00م
187,يناير,44947,44946,35821.0,3,5,5,3,5,شكوي,  البلطى  المشوى  تم  تغليفه  مع  طبق  المكرونة  المقلى 
188,يناير,44947,44946,41183.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
189,يناير,44947,44946,51687.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
190,يناير,44947,44946,82838.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
191,يناير,44947,44946,41167.0,3,5,5,3,5,شكوي,  البورى   شوى  ردة  به  شوك    فيليه  قشر  بياض  به  شوك   وارتفاع   اسعار  التسوية  55ج  على  2  كيلو  
192,يناير,44947,44946,85829.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
193,يناير,44947,44946,48006.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
194,يناير,44947,44946,47236.0,3,5,5,3,5,شكوي,  السلمون    بالزبدة  اقل  جودة  من  المرات  السابقة  التتبيلة  والزبدة    اقل  من  المرات  السابقة 
195,يناير,44947,44946,43548.0,5,5,5,5,5,شكر,  الخدمة  ممتازة
196,يناير,44948,44947,53489.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
197,يناير,44948,44947,78894.0,5,5,3,3,5,شكوي,تاخير وصول الاوردر تم الاتفاق الساعه 3 وصل الساعه 4  وتم طلب الحساب بالفيزا وصلت بطارية فارغه واضطر للدفع كاش 
198,يناير,44948,44947,53174.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
199,يناير,44948,44947,87552.0,3,4,4,3,4,شكوي,عدم الالتزام بالاوان المطلوبه تم ابلاغ العميل ان سمك ماكريل كبير وان وزن السمكة 400  جرام وصل 1.5 كجم 5 سمكات  حجمهم صغير جدا وطعهم سئ 
200,يناير,44948,44947,99358.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
201,يناير,44948,44947,63886.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
202,يناير,44948,44947,34198.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
203,يناير,44948,44947,72154.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
204,يناير,44948,44947,34951.0,5,5,5,5,5,شكوي,تم طلبه 1 كجم كاليمارى وصل 500 جرام فقط ووصل 500 جرام سبيط ولم يتم طلب سبيط 
205,يناير,44948,44947,52734.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
206,يناير,44948,44947,90614.0,5,5,5,5,5,شكوي,سمك قشر بياض طعمه  سئ جدا والارز بايت وبارد جدا 
207,يناير,44948,44947,41387.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا  وتشكر وصول الاوردر فى وقت سريع جدا 
208,يناير,44948,44947,34013.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
209,يناير,44948,44947,72876.0,5,5,5,5,5,شكر,خدمة ممتازة  جدا 
210,يناير,44949,44948,49916.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
211,يناير,44949,44948,49562.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
212,يناير,44949,44948,33067.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
213,يناير,44949,44948,86146.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
214,يناير,44949,44948,38412.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
215,يناير,44949,44948,34253.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
216,يناير,44949,44948,71710.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
217,يناير,44949,44948,100429.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
218,يناير,44949,44948,52332.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
219,يناير,44949,44948,85665.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
220,يناير,44949,44948,44610.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
221,يناير,44949,44948,49504.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
222,يناير,44949,44948,83331.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
223,يناير,44950,44949,42892.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
224,يناير,44950,44949,100523.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
225,يناير,44950,44949,42855.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
226,يناير,44950,44949,45622.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
227,يناير,44950,44949,68378.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
228,يناير,44950,44949,58397.0,5,5,5,5,5,شكوي,تم طلب السمك البلطي يكون مشوى متبل وصل بدون اى تتبيلة 
229,يناير,44950,44949,77008.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
230,يناير,44950,44949,100587.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
231,يناير,44950,44949,61595.0,5,5,5,5,5,شكر,خدمه ممتازة جدا 
232,يناير,44951,44950,42824.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
233,يناير,44951,44950,99053.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
234,يناير,44951,44950,65925.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
235,يناير,44951,44950,55650.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
236,يناير,44951,44950,43756.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
237,يناير,44951,44950,87666.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
238,يناير,44951,44950,54428.0,5,5,5,5,5,شكر,خدمة ممتازة جدا 
239,يناير,44952,44951,42732.0,3,5,5,3,5,شكوي,  جمبرى  باتر  فلاى  وصل  بدون  صوص  ولم  يتم    زبدة    عليه  اثناء  التسوية
